ticker,date,raw_score,z_score,signal,quintile,event_category,event_confidence,sentiment_intensity,volume_ratio,n_posts,has_social_data,confidence
AAPL,2024-04-01,0.19844292557566268,0.46943567249869256,0.43774323599613124,3,S,0.4,0.07890741988649874,0.5,15,True,0.2986722259659496
AAPL,2024-06-28,-0.2385198488923354,-1.1426412366741425,-0.8153015654870543,1,E,0.5,-0.2538857519413821,0.15384615384615385,15,True,0.34155034096703
MSFT,2024-01-01,-0.3593524113892885,-1.7227329528684387,-0.9381912724108407,1,G,0.4,-0.37589228127621366,0.6363636363636364,19,True,0.43473738135256107
MSFT,2024-04-01,0.3040943412123025,0.830189086936086,0.680577523734374,4,E,0.5,0.2639970459599181,0.29411764705882354,23,True,0.42527754516052446
MSFT,2024-06-28,0.2662130013954213,0.8634508213721944,0.698031354405936,4,S,0.4,0.11376029071733572,2.0,15,True,0.4591280872152007
TSLA,2024-01-01,-0.23960673606898236,-1.2588644426178492,-0.8507507452774004,1,E,0.5,-0.2409765517767147,0.2222222222222222,12,True,0.31951518775523663
TSLA,2024-04-01,-0.23672398534818262,-1.0164691591589248,-0.7684244910714814,2,E,0.5,-0.1799687692137647,0.2222222222222222,22,True,0.38454618631968496
TSLA,2024-06-28,-0.18465109857870662,-0.9285365432319744,-0.7299108550872645,2,G,0.4,-0.08048132871538496,0.6,24,True,0.38414439861461547
XOM,2024-01-01,0.3410747384756142,0.9905683640919591,0.7576045716748453,5,E,0.5,0.44299999999999995,0.1111111111111111,10,True,0.35234444444444446
XOM,2024-04-01,0.31665082439937914,0.8730639898019658,0.7029275223950442,5,E,0.5,0.189915656183321,0.2727272727272727,29,True,0.45091409079439027
XOM,2024-06-28,-0.23119396017294946,-1.113524037011563,-0.8053045560711877,2,G,0.4,-0.29043993290932457,0.13333333333333333,20,True,0.3671319798727974
JPM,2024-01-01,0.24635943306401584,0.6236620227841383,0.553672593890752,4,S,0.4,0.30435587081554927,0.23809523809523808,27,True,0.4401162850541886
JPM,2024-04-01,-0.30618537669398493,-1.2536494557841216,-0.8493038387790551,1,G,0.4,-0.4700502696444005,0.16666666666666666,29,True,0.49934841422665355
JPM,2024-06-28,0.1361035534658198,0.346322740607172,0.3331103372049082,3,S,0.4,0.06904428847277645,0.3,13,True,0.2590466198751663
NKE,2024-01-01,0.1669425096674293,0.3160182615700518,0.3059021882263017,3,S,0.4,0.09962088191142725,0.26666666666666666,21,True,0.33155293124009483
NKE,2024-04-01,-0.2679567015054818,-1.1231152360524947,-0.8086497740684955,1,G,0.4,-0.30828003679653465,0.2222222222222222,23,True,0.4063728999278493
NKE,2024-06-28,0.29043079760569296,0.9597059563670982,0.7441456799209779,5,E,0.5,0.2908474264911877,0.3333333333333333,26,True,0.4622542279473563
SBUX,2024-01-01,-0.21621126070863425,-1.168235496954634,-0.8237056907734838,2,G,0.4,-0.15938173404020398,0.6,17,True,0.34948118687872787
SBUX,2024-04-01,0.182387898990067,0.41461477280004105,0.3923839933029975,3,E,0.5,0.147,0.06666666666666667,17,True,0.31743333333333335
CVX,2024-01-01,0.3516913150002255,1.0316946554862816,0.7745871174802109,5,G,0.4,0.527,0.07142857142857142,17,True,0.4069095238095238
CVX,2024-04-01,-0.1813875967233516,-0.8275195741604702,-0.6791418864075182,2,G,0.4,-0.13604050152716066,0.08695652173913043,26,True,0.36617446929872793
CVX,2024-06-28,-0.29108681938139697,-1.351571925361319,-0.8744238013941522,1,G,0.4,-0.2268431068367282,0.6,26,True,0.4447195987176851
KO,2024-04-01,-0.30031888363633696,-1.2336179456659948,-0.8436255533761898,1,S,0.4,-0.4058957582205151,0.4,16,True,0.39510206079948784
KO,2024-06-28,0.24809496849422683,0.7914395744525878,0.6592237785439349,4,S,0.4,0.20632363394773606,0.4666666666666667,27,True,0.43356375685098747
PEP,2024-01-01,0.2030116832613548,0.4557423374185503,0.42660775408951984,3,S,0.4,0.08303273689572171,0.3,29,True,0.39657648773538323
PEP,2024-04-01,0.23910693493328686,0.6082854941700797,0.5429190883562794,4,G,0.4,0.09354337667636352,0.3888888888888889,27,True,0.39195190189179796
NEE,2024-01-01,0.13073314985846474,0.175751135038897,0.17396365606425057,2,S,0.4,0.0662641165161266,0.25,23,True,0.33654590162150466
NEE,2024-04-01,0.47514676794365657,1.4142583738386447,0.8883950061712828,5,E,0.5,0.7309634225144538,0.18181818181818182,14,True,0.47913751160282103
NEE,2024-06-28,0.18769755861088827,0.5513863181122132,0.5015585071028645,3,G,0.4,0.06295689499806208,0.5,24,True,0.36888706849941866
DUK,2024-01-01,0.22899502644922792,0.5563961160510437,0.5052986065199371,4,S,0.4,0.31801870629875717,0.2222222222222222,11,True,0.30929450077851606
DUK,2024-04-01,0.30829250474071196,0.8445239807764958,0.6881978330493049,5,E,0.5,0.29687591492319576,0.1875,20,True,0.3994794411436253
DUK,2024-06-28,0.3065992139902925,1.0239683313677337,0.771477927769333,5,E,0.5,0.357,0.14285714285714285,10,True,0.3297190476190476
